赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2015-2016,128673,I.威廉士,92,25,4,1639,8,0,8,41,15,40,2,169.94
2015-2016,129086,大卫.西蒙,991,18,3,1451,1,0,1,10,5,17,0,122.98
2015-2016,131791,阿方索,137,2,0,107,0,0,0,1,1,1,0,12.96
2015-2016,131846,马约拉尔,82,6,3,283,0,0,0,3,0,3,0,38.22
2015-2016,132802,塔纳,991,27,1,2129,5,0,5,31,16,53,1,182.13
2015-2016,135238,伊尼戈,92,19,7,1156,1,0,1,11,4,7,1,130.72
2015-2016,135239,萨宾.梅里诺,92,22,9,1130,5,0,5,26,15,8,2,144.19
2015-2016,137380,布尔吉,137,22,14,901,1,0,1,29,11,20,0,145.11
2015-2016,138465,巴勃罗,107,27,15,1286,1,0,1,22,5,15,0,174.03
2015-2016,138486,B.埃尼戈,131,2,2,3,0,0,0,0,0,0,0,12.22
2015-2016,138885,米克尔奥耶查,106,22,6,1500,6,0,6,30,10,33,1,136.38
2015-2016,139294,J.奧迪維羅斯,102,4,4,56,0,0,0,1,1,1,0,24.31
2015-2016,139748,苏亚雷斯罗伯托,103,2,2,50,0,0,0,1,1,0,0,12.06
2015-2016,139935,菲比安,96,4,2,166,0,0,0,1,1,1,0,25.82
2015-2016,140325,L.毛里西奥,991,8,0,697,0,0,0,4,2,0,0,54.8
2015-2016,141298,乔恩·包蒂斯塔,106,3,2,116,1,0,1,4,2,3,0,19.6
2015-2016,142848,伊戈尔·祖比迪亚,106,1,1,6,0,0,0,0,0,0,0,6.08
2015-2016,143534,雷斯波朗科,102,2,1,107,1,0,1,2,2,1,0,13.22
赛季,球员ID,球员,球队ID,出场,替补,出场总时长,运动战进球,点球,总进球数,射门,射正,被侵犯次数,最佳球员次数,评分
2016-2017,1631,皮克,84,25,0,2193,2,0,2,19,6,8,0,179.33
2016-2017,1634,C.罗纳尔多,82,29,0,2544,19,6,25,162,61,44,4,221.01
2016-2017,2053,D.莫雷诺,100,36,0,3240,3,0,3,16,9,32,1,254.76
2016-2017,2072,纳瓦罗,93,25,3,2050,0,0,0,4,0,25,0,168.36
2016-2017,2081,伊涅斯塔,84,24,11,1355,0,0,0,19,8,26,1,165.52
2016-2017,2150,华金,96,28,9,1678,3,0,3,26,9,29,1,188.12
2016-2017,2162,D.洛佩斯,100,35,0,3113,0,0,0,0,0,5,3,235.77
2016-2017,2163,胡安弗兰,109,23,2,1978,0,0,0,2,1,15,0,158.94
2016-2017,2183,莫亚,109,9,1,769,0,0,0,0,0,3,1,62.23
2016-2017,2186,拉米斯,131,22,2,1721,3,0,3,9,6,22,2,155.43
2016-2017,2205,乌纳姆诺,131,16,0,1376,0,0,0,0,0,3,0,98.04
2016-2017,2244,F.加比,109,34,1,2897,0,0,0,25,5,36,1,242.71
2016-2017,2426,奎利亚尔,992,36,0,3240,0,0,0,0,0,9,3,239.61
2016-2017,2464,德尔加多,137,23,4,1815,2,0,2,7,2,8,0,148.5
2016-2017,4821,博内拉,107,6,0,540,0,0,0,0,0,7,0,40.24
2016-2017,8061,阿杜里茨,92,32,5,2477,11,5,16,85,45,58,5,227.92
2016-2017,12839,马丁内兹,100,31,2,2566,1,0,1,8,3,24,0,206.56
2016-2017,13638,伊赖索斯,982,16,1,1404,0,0,0,0,0,3,0,105.63
2016-2017,13725,卢卡维纳,107,4,1,271,0,0,0,1,0,0,0,26.02
