赛季,轮次,时间,主队红牌数,主队名称,主队ID,主队上轮名次,比分,半场比分,客队红牌数,客队名称,客队ID,客队上轮名次
2003-2004,23,2004-02-08 23:59,0,毕尔巴鄂竞技,92,,2-1,2-1,0,穆尔西亚,117,
2003-2004,23,2004-02-09 02:00,0,奥萨苏纳,94,,1-2,0-1,0,巴塞罗那,84,
2003-2004,23,2004-02-09 04:00,0,萨拉戈萨,111,,2-1,1-1,0,皇家社会,106,
2003-2004,24,2004-02-15 02:30,0,穆尔西亚,117,,1-3,0-1,0,塞维利亚,86,
2003-2004,24,2004-02-15 04:30,0,皇家社会,106,,1-1,1-1,0,毕尔巴鄂竞技,92,
2003-2004,24,2004-02-15 23:59,0,比利亚雷亚尔,107,,6-3,3-1,0,桑坦德竞技,104,
2003-2004,24,2004-02-15 23:59,0,拉科鲁尼亚,93,,2-0,2-0,0,奥萨苏纳,94,
2003-2004,24,2004-02-15 23:59,0,瓦拉多利德,123,,0-2,0-0,0,塞尔塔,114,
2003-2004,24,2004-02-15 23:59,0,马拉加,102,,5-2,3-1,0,西班牙人,100,
2003-2004,24,2004-02-15 23:59,0,皇家贝蒂斯,96,,2-1,2-1,0,萨拉戈萨,111,
2003-2004,24,2004-02-15 23:59,0,马洛卡,101,,0-0,0-0,0,阿尔巴切特,110,
2003-2004,24,2004-02-16 02:00,0,巴塞罗那,84,,3-1,3-1,0,马德里竞技,109,
2003-2004,24,2004-02-16 04:00,0,皇家马德里,82,,1-1,0-0,0,巴伦西亚,91,
2003-2004,25,2004-02-22 00:30,0,马德里竞技,109,,0-0,0-0,0,拉科鲁尼亚,93,
2003-2004,25,2004-02-22 02:30,0,西班牙人,100,,2-4,1-1,0,皇家马德里,82,
2003-2004,25,2004-02-22 04:30,0,塞维利亚,86,,1-0,0-0,0,皇家社会,106,
2003-2004,25,2004-02-22 04:30,0,巴伦西亚,91,,0-1,0-0,0,巴塞罗那,84,
2003-2004,25,2004-02-22 04:30,0,塞尔塔,114,,0-2,0-1,0,马拉加,102,
2003-2004,25,2004-02-22 23:59,0,奥萨苏纳,94,,1-1,1-1,0,马洛卡,101,
2003-2004,25,2004-02-22 23:59,0,阿尔巴切特,110,,1-0,1-0,0,穆尔西亚,117,
2003-2004,25,2004-02-22 23:59,0,萨拉戈萨,111,,4-1,3-0,0,比利亚雷亚尔,107,
2003-2004,25,2004-02-22 23:59,0,桑坦德竞技,104,,1-0,0-0,0,瓦拉多利德,123,
2003-2004,25,2004-02-23 04:00,0,毕尔巴鄂竞技,92,,1-1,0-0,0,皇家贝蒂斯,96,
