轮次,时间,主队红牌,主队名称,主队名次,比分,半场比分,主队红牌,主队名称,主队名次,全场让球,半场让球,全场大小,半场大小
22,2014-02-02 01:00,0,莱万特,8,0-0,0-0,0,巴列卡诺,19,平手,平手,2/2.5,0.5/1
22,2014-02-02 03:00,0,赫塔菲,13,0-0,0-0,0,瓦拉多利德,18,平/半,平/半,2.5,1
22,2014-02-02 05:00,0,马拉加,16,3-2,1-0,0,塞维利亚,7,平手,平手,2.5,1
22,2014-02-02 19:00,1,艾尔切,17,1-0,0-0,0,阿尔梅里亚,16,平/半,平/半,2.5,1
22,2014-02-02 23:59,0,皇家贝蒂斯,20,2-0,0-0,0,西班牙人,10,平手,平手,2/2.5,1
22,2014-02-03 02:00,0,马德里竞技,2,4-0,1-0,0,皇家社会,6,半球,半球,2.5/3,1/1.5
22,2014-02-03 04:00,0,毕尔巴鄂竞技,4,1-1,0-0,1,皇家马德里,3,半球,半球,3.5,1.5
22,2014-02-04 05:00,0,比利亚雷亚尔,5,3-1,0-0,0,奥萨苏纳,16,半球,半球,2.5/3,1
23,2014-02-08 04:00,1,西班牙人,10,1-0,0-0,0,格拉那达,14,平/半,平/半,2.5,1
23,2014-02-08 23:00,0,巴伦西亚,8,5-0,2-0,0,皇家贝蒂斯,20,半球,半球,3,1/1.5
23,2014-02-09 01:00,0,巴列卡诺,19,4-1,3-0,1,马拉加,13,平手,平手,2.5,1
23,2014-02-09 03:00,0,皇家马德里,3,4-2,2-1,0,比利亚雷亚尔,5,半/一,半/一,3.5/4,1.5
23,2014-02-09 05:00,0,阿尔梅里亚,17,2-0,0-0,1,马德里竞技,1,半球,半球,2.5/3,1/1.5
23,2014-02-09 19:00,0,奥萨苏纳,17,2-0,1-0,0,赫塔菲,12,平/半,平/半,2/2.5,0.5/1
23,2014-02-09 23:59,0,瓦拉多利德,18,2-2,0-1,0,艾尔切,16,平/半,平/半,2.5,1
