赛季,排名,球队名称,红牌数量,比赛数量,胜场数,平场数,负场数,进球数,丢球数,净胜球,胜率,平率,负率,场均进球,场均丢球,积分
2004-2005,5,西班牙人,0,38,17,10,11,54,46,8,0.447,0.263,0.289,1.42,1.21,61
2004-2005,6,塞维利亚,0,38,17,9,12,44,41,3,0.447,0.237,0.316,1.16,1.08,60
2004-2005,7,巴伦西亚,0,38,14,16,8,54,39,15,0.368,0.421,0.211,1.42,1.03,58
2004-2005,8,毕尔巴鄂竞技,0,38,14,9,15,59,54,5,0.368,0.237,0.395,1.55,1.42,51
2004-2005,9,拉科鲁尼亚,0,38,12,15,11,46,50,-4,0.316,0.395,0.289,1.21,1.32,51
2004-2005,10,马拉加,0,38,15,6,17,40,48,-8,0.395,0.158,0.447,1.05,1.26,51
2004-2005,11,马德里竞技,0,38,13,11,14,40,34,6,0.342,0.289,0.368,1.05,0.89,50
2004-2005,12,萨拉戈萨,0,38,14,8,16,52,57,-5,0.368,0.211,0.421,1.37,1.5,50
2004-2005,13,赫塔菲,0,38,12,11,15,38,46,-8,0.316,0.289,0.395,1.0,1.21,47
2004-2005,14,皇家社会,0,38,13,8,17,47,56,-9,0.342,0.211,0.447,1.24,1.47,47
